geocode,municipio,latitude,longitude
1100015,ALTA FLORESTA D'OESTE,-11.93554,-61.999824
1100023,ARIQUEMES,-9.908463,-63.033269
1100031,CABIXI,-13.499763,-60.544314
1100049,CACOAL,-11.433865,-61.442944
1100056,CEREJEIRAS,-13.195033,-60.818426
1100064,COLORADO DO OESTE,-13.130564,-60.555067
1100072,CORUMBIARA,-12.99752,-60.948701
1100080,COSTA MARQUES,-12.436014,-64.231654
1100098,ESPIGÃO D'OESTE,-11.528555,-61.020173
1100106,GUAJARÁ-MIRIM,-10.773884,-65.323952
1100114,JARU,-10.435949,-62.476231
1100122,JI-PARANÁ,-10.882051,-61.945095
1100130,MACHADINHO D'OESTE,-9.425562,-61.999593
1100148,NOVA BRASILÂNDIA D'OESTE,-11.721325,-62.30823
1100155,OURO PRETO DO OESTE,-10.723574,-62.261055
1100189,PIMENTA BUENO,-11.677537,-61.183666
1100205,PORTO VELHO,-8.768892,-63.831446
1100254,PRESIDENTE MÉDICI,-11.173205,-61.909439
1100262,RIO CRESPO,-9.705537,-62.90001
1100288,ROLIM DE MOURA,-11.722259,-61.785781
1100296,SANTA LUZIA D'OESTE,-11.908423,-61.773305
1100304,VILHENA,-12.741373,-60.138584
1100320,SÃO MIGUEL DO GUAPORÉ,-11.69949,-62.720063
1100338,NOVA MAMORÉ,-10.411771,-65.329149
1100346,ALVORADA D'OESTE,-11.34413,-62.277275
1100379,ALTO ALEGRE DOS PARECIS,-12.131777,-61.853077
1100403,ALTO PARAÍSO,-9.716667,-63.317629
1100452,BURITIS,-10.209805,-63.829679
1100502,NOVO HORIZONTE DO OESTE,-11.709743,-61.994388
1100601,CACAULÂNDIA,-10.338873,-62.90319
1100700,CAMPO NOVO DE RONDÔNIA,-10.568416,-63.624991
1100809,CANDEIAS DO JAMARI,-8.785021,-63.70002
1100908,CASTANHEIRAS,-11.426842,-61.949161
1100924,CHUPINGUAIA,-12.556841,-60.901848
1100940,CUJUBIM,-9.378193,-62.587175
1101005,GOVERNADOR JORGE TEIXEIRA,-10.612072,-62.740458
1101104,ITAPUÃ DO OESTE,-9.191872,-63.182337
1101203,MINISTRO ANDREAZZA,-11.196238,-61.518922
1101302,MIRANTE DA SERRA,-11.045609,-62.669427
1101401,MONTE NEGRO,-10.263098,-63.295559
1101435,NOVA UNIÃO,-10.915532,-62.555089
1101450,PARECIS,-12.179827,-61.597998
1101468,PIMENTEIRAS DO OESTE,-13.476562,-61.044379
1101476,PRIMAVERA DE RONDÔNIA,-11.825707,-61.316546
1101484,SÃO FELIPE D'OESTE,-11.914389,-61.512508
1101492,SÃO FRANCISCO DO GUAPORÉ,-12.063798,-63.570865
1101500,SERINGUEIRAS,-11.767117,-63.038761
1101559,TEIXEIRÓPOLIS,-10.932169,-62.255922
1101609,THEOBROMA,-10.248731,-62.345146
1101708,URUPÁ,-11.128545,-62.370632
1101757,VALE DO ANARI,-9.851393,-62.176823
1101807,VALE DO PARAÍSO,-10.431053,-62.13439
1200013,ACRELÂNDIA,-10.073794,-67.052317
1200054,ASSIS BRASIL,-10.942866,-69.563459
1200104,BRASILÉIA,-11.016411,-68.747943
1200138,BUJARI,-9.82002,-67.951859
1200179,CAPIXABA,-10.569768,-67.673508
1200203,CRUZEIRO DO SUL,-7.63069,-72.672531
1200252,EPITACIOLÂNDIA,-11.02824,-68.744868
1200302,FEIJÓ,-8.160248,-70.353984
1200328,JORDÃO,-9.193358,-71.950875
1200336,MÂNCIO LIMA,-7.593223,-72.916501
1200344,MANOEL URBANO,-8.836318,-69.259945
1200351,MARECHAL THAUMATURGO,-8.953591,-72.790266
1200385,PLÁCIDO DE CASTRO,-10.335133,-67.18826
1200393,PORTO WALTER,-8.266666,-72.742334
1200401,RIO BRANCO,-9.978299,-67.810529
1200427,RODRIGUES ALVES,-7.733602,-72.647855
1200435,SANTA ROSA DO PURUS,-9.443407,-70.486497
1200450,SENADOR GUIOMARD,-10.148174,-67.743172
1200500,SENA MADUREIRA,-9.06534,-68.655684
1200609,TARAUACÁ,-8.155669,-70.755501
1200708,XAPURI,-10.652072,-68.506295
1200807,PORTO ACRE,-9.600858,-67.54059
1300029,ALVARÃES,-3.216584,-64.813535
1300060,AMATURÁ,-3.366805,-68.209615
1300086,ANAMÃ,-3.57637,-61.405903
1300102,ANORI,-3.745386,-61.658955
1300144,APUÍ,-7.19787,-59.885666
1300201,ATALAIA DO NORTE,-4.366157,-70.187989
1300300,AUTAZES,-3.578664,-59.133567
1300409,BARCELOS,-0.972801,-62.92567
1300508,BARREIRINHA,-2.79815,-57.06775
1300607,BENJAMIN CONSTANT,-4.374989,-70.027348
1300631,BERURI,-3.894513,-61.371571
1300680,BOA VISTA DO RAMOS,-2.971727,-57.587707
1300706,BOCA DO ACRE,-8.751243,-67.399578
1300805,BORBA,-4.39062,-59.594559
1300839,CAAPIRANGA,-3.330093,-61.211334
1300904,CANUTAMA,-6.529106,-64.394231
1301001,CARAUARI,-4.881666,-66.896635
1301100,CAREIRO,-3.822447,-60.36381
1301159,CAREIRO DA VÁRZEA,-3.197397,-59.826314
1301209,COARI,-4.084219,-63.142184
1301308,CODAJÁS,-3.843046,-62.06343
1301407,EIRUNEPÉ,-6.667353,-69.86629
1301506,ENVIRA,-7.439818,-70.030413
1301605,FONTE BOA,-2.512271,-66.096503
1301654,GUAJARÁ,-7.547774,-72.582431
1301704,HUMAITÁ,-7.512225,-63.026698
1301803,IPIXUNA,-7.05098,-71.694418
1301852,IRANDUBA,-3.281054,-60.193388
1301902,ITACOATIARA,-3.140379,-58.440175
1301951,ITAMARATI,-6.437799,-68.247917
1302009,ITAPIRANGA,-2.741843,-58.034546
1302108,JAPURÁ,-1.880845,-66.996903
1302207,JURUÁ,-3.47489,-66.063042
1302306,JUTAÍ,-2.744646,-66.771328
1302405,LÁBREA,-7.261947,-64.794773
1302504,MANACAPURU,-3.298278,-60.620589
1302553,MANAQUIRI,-3.42908,-60.458881
1302603,MANAUS,-3.134691,-60.023335
